Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked_Q,Embarked_S,Sex_male,Title_Col,Title_Countess,Title_Don,Title_Dr,Title_Jonkheer,Title_Lady,Title_Major,Title_Master,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rev,Title_Sir
0,2,22.0,1,0,523,7.25,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,38.0,1,0,596,71.2833,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,26.0,0,0,669,7.925,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,35.0,1,0,49,53.1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,35.0,0,0,472,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,275,8.4583,147,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,54.0,0,0,85,51.8625,129,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2.0,3,1,395,21.075,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,27.0,0,2,344,11.1333,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,14.0,1,0,132,30.0708,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,4.0,1,1,616,16.7,145,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,58.0,0,0,38,26.55,49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,20.0,0,0,535,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,39.0,1,5,333,31.275,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,14.0,0,0,413,7.8542,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,55.0,0,0,153,16.0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2.0,4,1,480,29.125,147,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,29.69911764705882,0,0,151,13.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,31.0,1,0,301,18.0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,29.69911764705882,0,0,184,7.225,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,35.0,0,0,139,26.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,34.0,0,0,152,13.0,111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,15.0,0,0,278,8.0292,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,28.0,0,0,42,35.5,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,8.0,3,1,395,21.075,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,38.0,1,5,329,31.3875,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,29.69911764705882,0,0,179,7.225,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,19.0,3,2,95,263.0,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,0,0,283,7.8792,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,29.69911764705882,0,0,362,7.8958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,40.0,0,0,598,27.7208,147,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,29.69911764705882,1,0,586,146.5208,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,29.69911764705882,0,0,288,7.75,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,66.0,0,0,549,10.5,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,28.0,1,0,600,82.1708,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,42.0,1,0,43,52.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,0,0,202,7.2292,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,21.0,0,0,514,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,18.0,2,0,302,18.0,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,14.0,1,0,186,11.2417,147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,40.0,1,0,507,9.475,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,27.0,1,0,53,21.0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,29.69911764705882,0,0,391,7.8958,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3.0,1,2,634,41.5792,147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,19.0,0,0,282,7.8792,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,29.69911764705882,0,0,617,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,1,0,462,15.5,147,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,0,0,76,7.75,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,29.69911764705882,2,0,190,21.6792,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,18.0,1,0,377,17.8,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,7.0,4,1,249,39.6875,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,21.0,0,0,522,7.8,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,49.0,1,0,587,76.7292,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,29.0,1,0,239,26.0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,65.0,0,1,29,61.9792,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,29.69911764705882,0,0,94,35.5,71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,21.0,0,0,555,10.5,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,28.5,0,0,215,7.2292,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,5.0,1,2,561,27.75,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,11.0,5,2,566,46.9,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,22.0,0,0,197,7.2292,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,38.0,0,0,32,80.0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,45.0,1,0,457,83.475,80,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,4.0,3,2,337,27.9,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,29.69911764705882,0,0,601,27.7208,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,1,1,189,15.2458,147,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,29.0,0,0,553,10.5,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,19.0,0,0,623,8.1583,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,17.0,4,2,248,7.925,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,26.0,2,0,270,8.6625,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,32.0,0,0,557,10.5,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,16.0,5,2,566,46.9,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,21.0,0,0,621,73.5,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,26.0,1,0,204,14.4542,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,32.0,0,0,80,56.4958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,25.0,0,0,347,7.65,140,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,355,7.8958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,473,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0.83,0,2,158,29.0,147,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,30.0,0,0,432,12.475,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,22.0,0,0,304,9.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.0,0,0,311,9.5,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,0,0,280,7.7875,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,28.0,0,0,25,47.1,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,17.0,0,0,637,10.5,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,33.0,3,0,247,15.85,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,16.0,1,3,676,34.375,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,652,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,23.0,3,2,95,263.0,63,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,24.0,0,0,297,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.0,0,0,298,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,20.0,0,0,341,7.8542,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,46.0,1,0,678,61.175,122,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,26.0,1,2,548,20.575,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,59.0,0,0,428,7.25,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,475,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,71.0,0,0,607,34.6542,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,23.0,0,1,612,63.3583,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,34.0,0,1,117,23.0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,34.0,1,0,150,26.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,28.0,0,0,384,7.8958,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,29.69911764705882,0,0,361,7.8958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,21.0,0,1,417,77.2875,98,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,33.0,0,0,505,8.6542,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,37.0,2,0,245,7.925,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,28.0,0,0,354,7.8958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,21.0,0,0,296,7.65,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,29.69911764705882,0,0,254,7.775,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,38.0,0,0,388,7.8958,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,29.69911764705882,1,0,469,24.15,147,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,47.0,0,0,2,52.0,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,14.5,1,0,193,14.4542,147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,22.0,0,0,274,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,20.0,1,0,491,9.825,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,17.0,0,0,176,14.4583,147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,21.0,0,0,666,7.925,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,70.5,0,0,460,7.75,147,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,29.0,1,0,53,21.0,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,24.0,0,1,585,247.5208,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2.0,4,2,333,31.275,147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,21.0,2,0,621,73.5,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,29.69911764705882,0,0,540,8.05,147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,32.5,1,0,132,30.0708,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
